name,rating,genres,avg_user_rating,movieId
making-a-murderer,★★★½,"Documentary, Crime",3.9,184257.0
the-revenant-2015,★★★,"Western, Adventure, Drama",3.9,139385.0
star-wars-the-force-awakens,★★★,"Action, Adventure, Science Fiction",3.3,122886.0
a-man-called-ove,★★★½,"Drama, Comedy",3.9,151113.0
the-big-short,★★★★,"Drama, Comedy",3.8,148626.0
the-hunger-games-mockingjay-part-2,★★½,"Adventure, Action, Science Fiction",3.4,135133.0
the-martian,★★★,"Genre Films, Drama, Science Fiction, Adventure",3.8,134130.0
ant-man,★★½,"Adventure, Science Fiction, Action",3.2,122900.0
jurassic-world,★★★,"Adventure, Science Fiction, Thriller, Action",3.1,117529.0
kung-fury,★★★,"Science Fiction, Comedy, Fantasy, Action",3.6,134170.0
inside-out-2015,★★★½,"Comedy, Family, Animation, Adventure, Drama",3.8,134853.0
the-lobster,★★★★,"Drama, Comedy, Romance",3.8,133771.0
mad-max-fury-road,★★★½,"Adventure, Science Fiction, Action",4.2,122882.0
avengers-age-of-ultron,★★★,"Action, Adventure, Science Fiction",3.2,122892.0
chappie,★★★,"Genre Films, Science Fiction, Action, Crime",3.1,120466.0
focus-2015,★★★,"Crime, Comedy, Romance",3.1,129354.0
cobain-montage-of-heck,★★★★,"Music, Documentary",3.9,127146.0
ex-machina-2015,★★★½,"Science Fiction, Drama",4.0,115713.0
the-interview-2014,★★½,"Comedy, Action",3.0,119141.0
kingsman-the-secret-service,★★★½,"Comedy, Crime, Adventure, Action",3.7,119145.0
the-hobbit-the-battle-of-five-armies-extended,★★★,"Fantasy, Action, Adventure",3.2,118696.0
the-hunger-games-mockingjay-part-1,★★½,"Thriller, Science Fiction, Adventure",3.3,116823.0
interstellar,★★★★★,"Science Fiction, Drama, Adventure",4.4,109487.0
citizenfour,★★★½,Documentary,4.0,117533.0
annabelle,★★½,Horror,2.4,114713.0
gone-girl,★★★★½,"Drama, Thriller, Mystery",4.1,112556.0
john-wick,★★★,"Action, Thriller",3.8,115149.0
the-maze-runner,★★½,"Science Fiction, Action, Mystery, Thriller",3.4,114180.0
the-theory-of-everything-2014,★★★★,"Romance, Drama",3.6,117176.0
the-imitation-game,★★★½,"Drama, Thriller, War, History",3.8,116797.0
guardians-of-the-galaxy,★★★½,"Adventure, Action, Science Fiction",3.8,112852.0
lucy-2014,★★½,"Action, Science Fiction",2.8,111360.0
cowspiracy-the-sustainability-secret,★★★,Documentary,3.7,118202.0
dawn-of-the-planet-of-the-apes,★★★,"Action, Science Fiction, Thriller, Drama",3.8,112623.0
transformers-age-of-extinction,★★,"Science Fiction, Adventure, Action",2.1,112370.0
22-jump-street,★★½,"Crime, Action, Comedy",3.3,112138.0
edge-of-tomorrow,★★★,"Science Fiction, Action",3.8,111759.0
mommy-2014,★★★★½,Drama,4.3,118896.0
a-million-ways-to-die-in-the-west,★★½,"Western, Comedy",2.4,111743.0
x-men-days-of-future-past,★★★,"Genre Films, Adventure, Action, Science Fiction",3.7,111362.0
the-amazing-spider-man-2,★★★,"Action, Adventure, Science Fiction",3.0,110553.0
